token name	description	value	version	themable
$palette-cloud-blue-95	Cloud Blue 95	rgb(234, 245, 254)#eaf5fePALETTE_CLOUD_BLUE_95	2.14.0	No
$palette-green-10	Green 10	rgb(7, 27, 18)#071b12PALETTE_GREEN_10	2.14.0	No
$palette-green-15	Green 15	rgb(12, 41, 18)#0c2912PALETTE_GREEN_15	2.14.0	No
$palette-green-20	Green 20	rgb(28, 51, 38)#1c3326PALETTE_GREEN_20	2.14.0	No
$palette-green-30	Green 30	rgb(25, 78, 49)#194e31PALETTE_GREEN_30	2.14.0	No
$palette-green-40	Green 40	rgb(57, 101, 71)#396547PALETTE_GREEN_40	2.14.0	No
$palette-green-50	Green 50	rgb(46, 132, 74)#2e844aPALETTE_GREEN_50	2.14.0	No
$palette-green-60	Green 60	rgb(59, 167, 85)#3ba755PALETTE_GREEN_60	2.14.0	No
$palette-green-65	Green 65	rgb(65, 182, 88)#41b658PALETTE_GREEN_65	2.14.0	No
$palette-green-70	Green 70	rgb(69, 198, 90)#45c65aPALETTE_GREEN_70	2.14.0	No
$palette-green-80	Green 80	rgb(145, 219, 139)#91db8bPALETTE_GREEN_80	2.14.0	No
$palette-green-90	Green 90	rgb(205, 239, 196)#cdefc4PALETTE_GREEN_90	2.14.0	No
$palette-green-95	Green 95	rgb(235, 247, 230)#ebf7e6PALETTE_GREEN_95	2.14.0	No
$palette-hot-orange-10	Hot Orange 10	rgb(40, 18, 2)#281202PALETTE_HOT_ORANGE_10	2.14.0	No
$palette-hot-orange-15	Hot Orange 15	rgb(66, 22, 4)#421604PALETTE_HOT_ORANGE_15	2.14.0	No
$palette-hot-orange-20	Hot Orange 20	rgb(74, 36, 19)#4a2413PALETTE_HOT_ORANGE_20	2.14.0	No
$palette-hot-orange-30	Hot Orange 30	rgb(126, 38, 0)#7e2600PALETTE_HOT_ORANGE_30	2.14.0	No
$palette-hot-orange-40	Hot Orange 40	rgb(170, 48, 1)#aa3001PALETTE_HOT_ORANGE_40	2.14.0	No
$palette-hot-orange-50	Hot Orange 50	rgb(216, 58, 0)#d83a00PALETTE_HOT_ORANGE_50	2.14.0	No
$palette-hot-orange-60	Hot Orange 60	rgb(255, 93, 45)#ff5d2dPALETTE_HOT_ORANGE_60	2.14.0	No
$palette-hot-orange-65	Hot Orange 65	rgb(255, 120, 79)#ff784fPALETTE_HOT_ORANGE_65	2.14.0	No
$palette-hot-orange-70	Hot Orange 70	rgb(255, 144, 110)#ff906ePALETTE_HOT_ORANGE_70	2.14.0	No
$palette-hot-orange-80	Hot Orange 80	rgb(254, 185, 165)#feb9a5PALETTE_HOT_ORANGE_80	2.14.0	No
$palette-hot-orange-90	Hot Orange 90	rgb(255, 222, 213)#ffded5PALETTE_HOT_ORANGE_90	2.14.0	No
$palette-hot-orange-95	Hot Orange 95	rgb(254, 241, 237)#fef1edPALETTE_HOT_ORANGE_95	2.14.0	No
$palette-indigo-10	Indigo 10	rgb(32, 6, 71)#200647PALETTE_INDIGO_10	2.14.0	No
$palette-indigo-15	Indigo 15	rgb(31, 9, 116)#1f0974PALETTE_INDIGO_15	2.14.0	No
$palette-indigo-20	Indigo 20	rgb(50, 29, 113)#321d71PALETTE_INDIGO_20	2.14.0	No
$palette-indigo-30	Indigo 30	rgb(47, 44, 183)#2f2cb7PALETTE_INDIGO_30	2.14.0	No
$palette-indigo-40	Indigo 40	rgb(58, 73, 218)#3a49daPALETTE_INDIGO_40	2.14.0	No
$palette-indigo-50	Indigo 50	rgb(88, 103, 232)#5867e8PALETTE_INDIGO_50	2.14.0	No
$palette-indigo-60	Indigo 60	rgb(127, 140, 237)#7f8cedPALETTE_INDIGO_60	2.14.0	No
$palette-indigo-65	Indigo 65	rgb(142, 155, 239)#8e9befPALETTE_INDIGO_65	2.14.0	No
$palette-indigo-70	Indigo 70	rgb(158, 169, 241)#9ea9f1PALETTE_INDIGO_70	2.14.0	No
$palette-indigo-80	Indigo 80	rgb(190, 199, 246)#bec7f6PALETTE_INDIGO_80	2.14.0	No
$palette-indigo-90	Indigo 90	rgb(224, 229, 248)#e0e5f8PALETTE_INDIGO_90	2.14.0	No
$palette-indigo-95	Indigo 95	rgb(241, 243, 251)#f1f3fbPALETTE_INDIGO_95	2.14.0	No
$palette-neutral-10	Neutral 10	rgb(24, 24, 24)#181818PALETTE_NEUTRAL_10	2.16.0	No
$palette-neutral-20	Neutral 20	rgb(46, 46, 46)#2e2e2ePALETTE_NEUTRAL_20	2.16.0	No
$palette-neutral-30	Neutral 30	rgb(68, 68, 68)#444444PALETTE_NEUTRAL_30	2.16.0	No
$palette-neutral-40	Neutral 40	rgb(92, 92, 92)#5c5c5cPALETTE_NEUTRAL_40	2.16.0	No
$palette-neutral-50	Neutral 50	rgb(116, 116, 116)#747474PALETTE_NEUTRAL_50	2.16.0	No
$palette-neutral-60	Neutral 60	rgb(147, 147, 147)#939393PALETTE_NEUTRAL_60	2.16.0	No
$palette-neutral-70	Neutral 70	rgb(174, 174, 174)#aeaeaePALETTE_NEUTRAL_70	2.16.0	No
$palette-neutral-80	Neutral 80	rgb(201, 201, 201)#c9c9c9PALETTE_NEUTRAL_80	2.16.0	No
$palette-neutral-90	Neutral 90	rgb(229, 229, 229)#e5e5e5PALETTE_NEUTRAL_90	2.16.0	No
$palette-neutral-95	Neutral 95	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	2.16.0	No
$palette-neutral-100	Neutral 100	rgb(255, 255, 255)#ffffffPALETTE_NEUTRAL_100	2.16.0	No
$palette-orange-10	Orange 10	rgb(32, 22, 0)#201600PALETTE_ORANGE_10	2.14.0	No
$palette-orange-15	Orange 15	rgb(55, 30, 3)#371e03PALETTE_ORANGE_15	2.14.0	No
$palette-orange-20	Orange 20	rgb(62, 43, 2)#3e2b02PALETTE_ORANGE_20	2.14.0	No
$palette-orange-30	Orange 30	rgb(95, 62, 2)#5f3e02PALETTE_ORANGE_30	2.14.0	No
$palette-orange-40	Orange 40	rgb(130, 81, 1)#825101PALETTE_ORANGE_40	2.14.0	No
$palette-orange-50	Orange 50	rgb(169, 100, 4)#a96404PALETTE_ORANGE_50	2.14.0	No
$palette-orange-60	Orange 60	rgb(221, 122, 1)#dd7a01PALETTE_ORANGE_60	2.14.0	No
$palette-orange-65	Orange 65	rgb(243, 131, 3)#f38303PALETTE_ORANGE_65	2.14.0	No
$palette-orange-70	Orange 70	rgb(254, 147, 57)#fe9339PALETTE_ORANGE_70	2.14.0	No
$palette-orange-80	Orange 80	rgb(255, 186, 144)#ffba90PALETTE_ORANGE_80	2.14.0	No
$palette-orange-90	Orange 90	rgb(254, 223, 208)#fedfd0PALETTE_ORANGE_90	2.14.0	No
$palette-orange-95	Orange 95	rgb(255, 241, 234)#fff1eaPALETTE_ORANGE_95	2.14.0	No
$palette-pink-10	Pink 10	rgb(55, 1, 20)#370114PALETTE_PINK_10	2.14.0	No
$palette-pink-15	Pink 15	rgb(75, 6, 32)#4b0620PALETTE_PINK_15	2.14.0	No
$palette-pink-20	Pink 20	rgb(97, 2, 42)#61022aPALETTE_PINK_20	2.14.0	No
$palette-pink-30	Pink 30	rgb(138, 3, 62)#8a033ePALETTE_PINK_30	2.14.0	No
$palette-pink-40	Pink 40	rgb(182, 5, 84)#b60554PALETTE_PINK_40	2.14.0	No
$palette-pink-50	Pink 50	rgb(227, 6, 106)#e3066aPALETTE_PINK_50	2.14.0	No
$palette-pink-60	Pink 60	rgb(255, 83, 138)#ff538aPALETTE_PINK_60	2.14.0	No
$palette-pink-65	Pink 65	rgb(254, 114, 152)#fe7298PALETTE_PINK_65	2.14.0	No
$palette-pink-70	Pink 70	rgb(254, 138, 167)#fe8aa7PALETTE_PINK_70	2.14.0	No
$palette-pink-80	Pink 80	rgb(253, 182, 197)#fdb6c5PALETTE_PINK_80	2.14.0	No
$palette-pink-90	Pink 90	rgb(253, 221, 227)#fddde3PALETTE_PINK_90	2.14.0	No
$palette-pink-95	Pink 95	rgb(254, 240, 243)#fef0f3PALETTE_PINK_95	2.14.0	No
$palette-purple-10	Purple 10	rgb(36, 6, 67)#240643PALETTE_PURPLE_10	2.14.0	No
$palette-purple-15	Purple 15	rgb(48, 11, 96)#300b60PALETTE_PURPLE_15	2.14.0	No
$palette-purple-20	Purple 20	rgb(64, 16, 117)#401075PALETTE_PURPLE_20	2.14.0	No
$palette-purple-30	Purple 30	rgb(90, 27, 169)#5a1ba9PALETTE_PURPLE_30	2.14.0	No
$palette-purple-40	Purple 40	rgb(117, 38, 227)#7526e3PALETTE_PURPLE_40	2.14.0	No
$palette-purple-50	Purple 50	rgb(144, 80, 233)#9050e9PALETTE_PURPLE_50	2.14.0	No
$palette-purple-60	Purple 60	rgb(173, 123, 238)#ad7beePALETTE_PURPLE_60	2.14.0	No
$palette-purple-65	Purple 65	rgb(183, 141, 239)#b78defPALETTE_PURPLE_65	2.14.0	No
$palette-purple-70	Purple 70	rgb(194, 158, 241)#c29ef1PALETTE_PURPLE_70	2.14.0	No
$palette-purple-80	Purple 80	rgb(215, 191, 242)#d7bff2PALETTE_PURPLE_80	2.14.0	No
$palette-purple-90	Purple 90	rgb(236, 225, 249)#ece1f9PALETTE_PURPLE_90	2.14.0	No
$palette-purple-95	Purple 95	rgb(246, 242, 251)#f6f2fbPALETTE_PURPLE_95	2.14.0	No
$palette-red-10	Red 10	rgb(48, 12, 1)#300c01PALETTE_RED_10	2.14.0	No
$palette-red-15	Red 15	rgb(74, 12, 4)#4a0c04PALETTE_RED_15	2.14.0	No
$palette-red-20	Red 20	rgb(100, 1, 3)#640103PALETTE_RED_20	2.14.0	No
$palette-red-30	Red 30	rgb(142, 3, 15)#8e030fPALETTE_RED_30	2.14.0	No
$palette-red-40	Red 40	rgb(186, 5, 23)#ba0517PALETTE_RED_40	2.14.0	No
$palette-red-50	Red 50	rgb(234, 0, 30)#ea001ePALETTE_RED_50	2.14.0	No
$palette-red-60	Red 60	rgb(254, 92, 76)#fe5c4cPALETTE_RED_60	2.14.0	No
$palette-red-65	Red 65	rgb(254, 119, 101)#fe7765PALETTE_RED_65	2.14.0	No
$palette-red-70	Red 70	rgb(254, 143, 125)#fe8f7dPALETTE_RED_70	2.14.0	No
$palette-red-80	Red 80	rgb(254, 184, 171)#feb8abPALETTE_RED_80	2.14.0	No
$palette-red-90	Red 90	rgb(254, 222, 216)#feded8PALETTE_RED_90	2.14.0	No
$palette-red-95	Red 95	rgb(254, 241, 238)#fef1eePALETTE_RED_95	2.14.0	No
$palette-teal-10	Teal 10	rgb(7, 27, 18)#071b12PALETTE_TEAL_10	2.14.0	No
$palette-teal-15	Teal 15	rgb(7, 40, 37)#072825PALETTE_TEAL_15	2.14.0	No
$palette-teal-20	Teal 20	rgb(2, 52, 52)#023434PALETTE_TEAL_20	2.14.0	No
$palette-teal-30	Teal 30	rgb(2, 77, 76)#024d4cPALETTE_TEAL_30	2.14.0	No
$palette-teal-40	Teal 40	rgb(5, 103, 100)#056764PALETTE_TEAL_40	2.14.0	No
$palette-teal-50	Teal 50	rgb(11, 130, 124)#0b827cPALETTE_TEAL_50	2.14.0	No
$palette-teal-60	Teal 60	rgb(6, 165, 154)#06a59aPALETTE_TEAL_60	2.14.0	No
$palette-teal-65	Teal 65	rgb(3, 180, 167)#03b4a7PALETTE_TEAL_65	2.14.0	No
$palette-teal-70	Teal 70	rgb(1, 195, 179)#01c3b3PALETTE_TEAL_70	2.14.0	No
$palette-teal-80	Teal 80	rgb(4, 225, 203)#04e1cbPALETTE_TEAL_80	2.14.0	No
$palette-teal-90	Teal 90	rgb(172, 243, 228)#acf3e4PALETTE_TEAL_90	2.14.0	No
$palette-teal-95	Teal 95	rgb(222, 249, 243)#def9f3PALETTE_TEAL_95	2.14.0	No
$palette-violet-10	Violet 10	rgb(46, 0, 57)#2e0039PALETTE_VIOLET_10	2.14.0	No
$palette-violet-15	Violet 15	rgb(61, 1, 87)#3d0157PALETTE_VIOLET_15	2.14.0	No
$palette-violet-20	Violet 20	rgb(72, 26, 84)#481a54PALETTE_VIOLET_20	2.14.0	No
$palette-violet-30	Violet 30	rgb(115, 3, 148)#730394PALETTE_VIOLET_30	2.14.0	No
$palette-violet-40	Violet 40	rgb(150, 2, 199)#9602c7PALETTE_VIOLET_40	2.14.0	No
$palette-violet-50	Violet 50	rgb(186, 1, 255)#ba01ffPALETTE_VIOLET_50	2.14.0	No
$palette-violet-60	Violet 60	rgb(203, 101, 255)#cb65ffPALETTE_VIOLET_60	2.14.0	No
$palette-violet-65	Violet 65	rgb(209, 125, 254)#d17dfePALETTE_VIOLET_65	2.14.0	No
$palette-violet-70	Violet 70	rgb(216, 146, 254)#d892fePALETTE_VIOLET_70	2.14.0	No
$palette-violet-80	Violet 80	rgb(229, 185, 254)#e5b9fePALETTE_VIOLET_80	2.14.0	No
$palette-violet-90	Violet 90	rgb(242, 222, 254)#f2defePALETTE_VIOLET_90	2.14.0	No
$palette-violet-95	Violet 95	rgb(249, 240, 255)#f9f0ffPALETTE_VIOLET_95	2.14.0	No
$palette-yellow-10	Yellow 10	rgb(40, 18, 2)#281202PALETTE_YELLOW_10	2.14.0	No
$palette-yellow-15	Yellow 15	rgb(46, 34, 4)#2e2204PALETTE_YELLOW_15	2.14.0	No
$palette-yellow-20	Yellow 20	rgb(79, 33, 0)#4f2100PALETTE_YELLOW_20	2.14.0	No
$palette-yellow-30	Yellow 30	rgb(111, 52, 0)#6f3400PALETTE_YELLOW_30	2.14.0	No
$palette-yellow-40	Yellow 40	rgb(140, 75, 2)#8c4b02PALETTE_YELLOW_40	2.14.0	No
$palette-yellow-50	Yellow 50	rgb(168, 100, 3)#a86403PALETTE_YELLOW_50	2.14.0	No
$palette-yellow-60	Yellow 60	rgb(202, 133, 1)#ca8501PALETTE_YELLOW_60	2.14.0	No
$palette-yellow-65	Yellow 65	rgb(215, 147, 4)#d79304PALETTE_YELLOW_65	2.14.0	No
$palette-yellow-70	Yellow 70	rgb(228, 162, 1)#e4a201PALETTE_YELLOW_70	2.14.0	No
$palette-yellow-80	Yellow 80	rgb(252, 192, 3)#fcc003PALETTE_YELLOW_80	2.14.0	No
$palette-yellow-90	Yellow 90	rgb(249, 227, 182)#f9e3b6PALETTE_YELLOW_90	2.14.0	No
$palette-yellow-95	Yellow 95	rgb(251, 243, 224)#fbf3e0PALETTE_YELLOW_95	2.14.0	No
$color-background	Default background color for the whole app.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-alt	Second default background color for the app.	rgb(255, 255, 255)#ffffffWHITE	1.0.0	No
$color-background-alt-inverse	Alternative background color for dark portions of the app.	rgb(3, 45, 96)#032d60PALETTE_BLUE_20	1.0.0	No
$color-background-backdrop	The color of the mask overlay that appears when you enter a modal state.	rgba(255, 255, 255, 0.75)WHITE_TRANSPARENT_75	1.0.0	No
$color-background-backdrop-tint	The color of the mask overlay that provides user feedback on interaction.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-customer	Background color for UI elements related to the concept of an external user or customer.	rgb(254, 147, 57)#fe9339PALETTE_ORANGE_70	1.0.0	No
$color-background-dark	Dark variant of COLOR_BACKGROUND.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	2.8.0	No
$color-background-destructive	Color for UI elements related to destructive actions.	rgb(186, 5, 23)#ba0517PALETTE_RED_40	1.0.0	No
$color-background-destructive-active	Active color for UI elements related to destructive actions.	rgb(142, 3, 15)#8e030fPALETTE_RED_30	1.0.0	No
$color-background-destructive-hover	Hover color for UI elements related to destructive actions.	rgb(142, 3, 15)#8e030fPALETTE_RED_30	1.0.0	No
$color-background-error	Color for UI elements related to errors.	rgb(254, 92, 76)#fe5c4cPALETTE_RED_60	1.0.0	No
$color-background-error-dark	Dark color for UI elements related to errors. Accessible with white text.	rgb(186, 5, 23)#ba0517PALETTE_RED_40	1.0.0	No
$color-background-highlight	Background color for highlighting UI elements.	rgb(250, 255, 189)#faffbdLEMON_CHIFFON	1.0.0	No
$color-background-highlight-search	Background color for highlighting text in search results.	rgb(255, 240, 63)#fff03fGORSE	1.0.0	No
$color-background-image-overlay	Color of mask overlay that sits on top of an image when text is present.	rgba(0, 0, 0, 0.6)BLACK_TRANSPARENT_60	1.0.0	No
$color-background-info	Background color for UI elements related to providing neutral information (not error, success, or warning).	rgb(116, 116, 116)#747474PALETTE_NEUTRAL_50	1.0.0	No
$color-background-input-checkbox-disabled	Disabled checkboxes	rgb(201, 201, 201)#c9c9c9PALETTE_NEUTRAL_80	1.0.0	No
$color-background-input-disabled	Disabled input	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-inverse	Default background color for dark portions of the app (like Stage Left or tooltips).	rgb(0, 22, 57)#001639PALETTE_BLUE_10	1.0.0	No
$color-background-inverse-light	Light variant of COLOR_BACKGROUND_INVERSE.	rgb(3, 45, 96)#032d60PALETTE_BLUE_20	2.8.0	No
$color-background-light	Light variant of COLOR_BACKGROUND.	rgb(255, 255, 255)#ffffffPALETTE_NEUTRAL_100	2.8.0	No
$color-background-notification-new	Background color for a new notification list item.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-offline	Color for UI elements related to the offline state.	rgb(68, 68, 68)#444444PALETTE_NEUTRAL_30	1.0.0	No
$color-background-post	Background color of comment posts in the feed.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-row-active	Used as the background color for the active state on rows or items on list-like components.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-row-hover	Used as the background color for the hover state on rows or items on list-like components.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-row-new	Used as the background color for the new state on rows or items on list-like components.	rgb(205, 239, 196)#cdefc4PALETTE_GREEN_90	1.0.0	No
$color-background-row-selected	Used as the background color for selected rows or items on list-like components.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-scrollbar	The background color of an internal scrollbar.	rgb(243, 243, 243)#f3f3f3PALETTE_NEUTRAL_95	1.0.0	No
$color-background-scrollbar-track	The background color of an internal scrollbar track.	rgb(201, 201, 201)#c9c9c9PALETTE_NEUTRAL_80	1.0.0	No
$color-background-selection	Background color for text selected with a mouse.	rgb(216, 230, 254)#d8e6fePALETTE_BLUE_90	1.0.0	No
$color-background-spinner-dot	Color of the spinner dot.	rgb(174, 174, 174)#aeaeaePALETTE_NEUTRAL_70	1.0.0	No
